,US equity,Ex-US equity,US aggregate bonds,T-bills
Start,1969-12,1969-12,1969-12,1969-12
Months,679,679,679,679
CAGR,0.1113849596332479,0.09558165210886616,0.06591756387424375,0.04421061655351388
Volatility,0.15287025523143097,0.16884284202215905,0.055713068435237045,0.009465279413975002
Sharpe,0.48692823085607334,0.37078287887110456,0.3976659855352718,
Max drawdown,-0.5094872573516548,-0.5737080186300614,-0.17134709332668896,
Skewness,-0.43134403847021746,-0.39236492035144566,0.5948861145462054,0.658437744606514
Excess kurtosis,1.6337459626161515,1.3944964252272625,4.843083170951724,0.5358992058158814
Worst month,-0.2153632449822367,-0.22008534419634218,-0.06078261554208331,0.0
Best month,0.16809670125804388,0.16905713613919593,0.11336536750311454,0.013500066633175045
Excess t-stat (NW),3.623595491625613,2.5157828720827276,2.8329879878074458,
