,GEM,Mix statique 46/28/25,GAA 45/28/27,S&P 500,Actions hors US,Obligations US,60/40
CAGR,0.15180829021471265,0.10032376283544031,0.09964605284496386,0.11274080921347118,0.10022756225210405,0.06399959884339967,0.09589028886443218
Volatility,0.12907929315886588,0.11328965915584036,0.11143399091584051,0.15203166583639088,0.16895197490352445,0.055168281298726154,0.09933565068792023
Sharpe,0.8322776360716779,0.5242678355200256,0.5255298680098415,0.499201137878768,0.3979897386171007,0.3747387215183654,0.5416595598434206
Sortino,1.1795882115513832,0.7218962500026631,0.7251979864800043,0.7040509974830755,0.5601655436436572,0.5881914759516186,0.8069929026196508
Max drawdown,-0.2166422531747232,-0.41943884909282514,-0.41238957067376525,-0.5094872573516548,-0.5737080186300615,-0.1713470933266893,-0.3253998844435888
Calmar (MAR),0.7007326040515209,0.2391856716477826,0.2416308751023004,0.22128288310782226,0.1747013445819254,0.37350851771601656,0.2946844588724975
Best month,0.15332409972299166,0.11641888071302302,0.11506784840072039,0.16809670125804388,0.16905713613919593,0.11336536750311454,0.12411613706955461
Worst month,-0.1450467090540971,-0.1457757340928599,-0.14357341289421482,-0.2153632449822367,-0.22008534419634218,-0.06078261554208331,-0.11497173237446379
Positive months,0.6701649175412294,0.6551724137931034,0.6551724137931034,0.6341829085457271,0.6026986506746627,0.6506746626686657,0.6536731634182908
Skewness,-0.2340103275938144,-0.4766276871299122,-0.468471761809809,-0.42870232137753445,-0.3934574271784106,0.5846228514773413,-0.21144306909268215
Excess kurtosis,1.7455005219126134,1.6748404997514488,1.6621386936702436,1.742261907747916,1.4158562377087787,5.107978770187915,1.3757510602379721
Monthly VaR 5%,-0.04765525951549959,-0.049245918443973836,-0.0478282304607506,-0.06429640638725317,-0.0790107829506463,-0.019176820327625344,-0.039680305707997694
Excess return t-stat (NW),6.190804714053483,3.7186186500153133,3.725931135226692,3.708013037402728,2.686848641182124,2.6514477169630344,4.013660620862052
Months,667.0,667.0,667.0,667.0,667.0,667.0,667.0
