,S&P 500 (benchmark),Absolute momentum only,Relative momentum only,GEM (combined)
CAGR,0.11274080921347118,0.12041376484352506,0.13305068496942996,0.15180829021471265
Volatility,0.15203166583639088,0.12296715433531234,0.15958718845723294,0.12907929315886588
Sharpe,0.499201137878768,0.6408377463740821,0.5971807876664285,0.8322776360716779
Sortino,0.7040509974830755,0.8634838483430078,0.8616199564024928,1.1795882115513832
Max drawdown,-0.5094872573516548,-0.2957937834480856,-0.5461071596410283,-0.2166422531747232
Calmar (MAR),0.22128288310782226,0.4070868678842898,0.24363475669663065,0.7007326040515209
Best month,0.16809670125804388,0.13465585250943546,0.16905713613919593,0.15332409972299166
Worst month,-0.2153632449822367,-0.2153632449822367,-0.16794793278322162,-0.1450467090540971
Positive months,0.6341829085457271,0.6536731634182908,0.6431784107946027,0.6701649175412294
Skewness,-0.42870232137753445,-0.48986149533284123,-0.37919427770769576,-0.2340103275938144
Excess kurtosis,1.742261907747916,3.499962671200362,0.9841332121961766,1.7455005219126134
Monthly VaR 5%,-0.06429640638725317,-0.0463001376987053,-0.06820757377771143,-0.04765525951549959
Excess return t-stat (NW),3.708013037402728,5.0185800466197215,4.056067641540249,6.190804714053483
Months,667.0,667.0,667.0,667.0
Excess over S&P 500 (bps),0.0,76.72955630053879,203.09875755958774,390.67481001241464
